BASE_YEAR,UPJONG_LV1_DC,CSP_PC
2016,가전/가구/자동차,69973000000
2016,교통,6371000000
2016,미용서비스,34641000000
2016,백화점/면세점,428108000000
2016,병원/약국,404898000000
2016,생활서비스,12249000000
2016,숙박,127922000000
2016,스포츠/문화/레저,60533000000
2016,스포츠/문화/레저용품,197281000000
2016,외식업기타,145633000000
2016,유흥,68912000000
2016,음/식료품,91824000000
2016,의복/의류,203740000000
2016,인테리어,33475000000
2016,자동차수리/용품,93375000000
2016,제과/커피/패스트푸드,71268000000
2016,주유/LPG,276022000000
2016,중식/일식/양식,83849000000
2016,패션/잡화,58372000000
2016,편의점,113543000000
2016,한식,484153000000
2016,할인점/슈퍼마켓,287666000000
2016,화장품,30850000000
2017,가전/가구/자동차,69409000000
2017,교통,44083000000
2017,미용서비스,35556000000
2017,백화점/면세점,471145000000
2017,병원/약국,434344000000
2017,생활서비스,15970000000
2017,숙박,150962000000
2017,스포츠/문화/레저,83877000000
2017,스포츠/문화/레저용품,189182000000
2017,외식업기타,175519000000
2017,유흥,67825000000
2017,음/식료품,110907000000
2017,의복/의류,209874000000
2017,인테리어,35184000000
2017,자동차수리/용품,100754000000
2017,제과/커피/패스트푸드,71536000000
2017,주유/LPG,291854000000
2017,중식/일식/양식,95415000000
2017,패션/잡화,62833000000
2017,편의점,134951000000
2017,한식,547334000000
2017,할인점/슈퍼마켓,299011000000
2017,화장품,29793000000
2018,가전/가구/자동차,72955000000
2018,교통,57115000000
2018,미용서비스,35176000000
2018,백화점/면세점,571227000000
2018,병원/약국,460835000000
2018,생활서비스,19797000000
2018,숙박,159419000000
2018,스포츠/문화/레저,92961000000
2018,스포츠/문화/레저용품,183784000000
2018,외식업기타,188247000000
2018,유흥,64521000000
2018,음/식료품,114567000000
2018,의복/의류,211748000000
2018,인테리어,37302000000
2018,자동차수리/용품,104931000000
2018,제과/커피/패스트푸드,75548000000
2018,주유/LPG,328241000000
2018,중식/일식/양식,98884000000
2018,패션/잡화,60743000000
2018,편의점,147579000000
2018,한식,571207000000
2018,할인점/슈퍼마켓,298958000000
2018,화장품,29451000000
2019,가전/가구/자동차,36698529301
2019,교통,28335427457
2019,미용서비스,17221247656
2019,백화점/면세점,301223786526
2019,병원/약국,242065872482
2019,생활서비스,13734038839
2019,숙박,76083905012
2019,스포츠/문화/레저,46374639717
2019,스포츠/문화/레저용품,87422556203
2019,외식업기타,92809195119
2019,유흥,30111257366
2019,음/식료품,59122400332
2019,의복/의류,100409155606
2019,인테리어,19211528767
2019,자동차수리/용품,51657092599
2019,제과/커피/패스트푸드,36754288055
2019,주유/LPG,151666052336
2019,중식/일식/양식,46739212143
2019,패션/잡화,29136309843
2019,편의점,70935089592
2019,한식,279174246709
2019,할인점/슈퍼마켓,140343733512
2019,화장품,14651378300
