BASE_YEAR,INFLOW_AREA,CSP_PC
2016,강원,50101000000
2016,경기,401666000000
2016,경남,1352528000000
2016,경북,211626000000
2016,광주,38066000000
2016,대구,136694000000
2016,대전,49834000000
2016,서울,431409000000
2016,세종,7293000000
2016,울산,365263000000
2016,인천,87052000000
2016,전남,69585000000
2016,전북,36259000000
2016,제주,35526000000
2016,충남,57085000000
2016,충북,54670000000
2017,강원,55521000000
2017,경기,453188000000
2017,경남,1476295000000
2017,경북,232403000000
2017,광주,42537000000
2017,대구,150354000000
2017,대전,54502000000
2017,서울,480376000000
2017,세종,10400000000
2017,울산,401110000000
2017,인천,97243000000
2017,전남,74650000000
2017,전북,39508000000
2017,제주,40051000000
2017,충남,56253000000
2017,충북,62929000000
2018,강원,56076000000
2018,경기,467124000000
2018,경남,1619215000000
2018,경북,250096000000
2018,광주,46676000000
2018,대구,167839000000
2018,대전,56112000000
2018,서울,486158000000
2018,세종,12860000000
2018,울산,429654000000
2018,인천,102579000000
2018,전남,80228000000
2018,전북,41040000000
2018,제주,43152000000
2018,충남,59212000000
2018,충북,67174000000
2019,강원,26887211078
2019,경기,229552614849
2019,경남,808039718349
2019,경북,128188019636
2019,광주,23370835528
2019,대구,84698038531
2019,대전,26288476045
2019,서울,233202849538
2019,세종,6929808752
2019,울산,211740951938
2019,인천,49608682061
2019,전남,41278693390
2019,전북,19607824305
2019,제주,22194542322
2019,충남,29203863339
2019,충북,31088813811
